id,name
100000,デンデン
100001,青デンデン
100002,赤デンデン
100003,スポア
100004,メイプルキノコ
100005,スタンプ
100006,スライム
100007,ピグ
100100,デンデン
100101,青デンデン
100120,ティノ
100121,ティヴ
100122,ティム
100123,ティル
100124,ティグル
100130,ムル
100131,ムルパ
100132,ムルピン
100133,ムルムル
100134,ムルクン
100200,ヒトデ
120100,スポア
130100,スタンプ
130101,赤デンデン
150000,若葉の鉢植え
150001,朝顔の鉢植え
150002,ぶどうジュースの瓶
210100,スライム
1110100,緑キノコ
1110101,Ｄ.スタンプ
1110130,やさぐれた緑キノコ
1120100,オクトパス
1130100,ハイスタンプ
1140100,スプラウトスタンプ
1140130,いやらしいスプラウトスタンプ
1150000,見回りロボット
1150001,おかしな道標
1150002,大蛇
1210100,ピグ
1210101,リボンピグ
1210102,メイプルキノコ
1210103,バブルリング
1210104,青リボンピグ
1210111,不思議な豚
1220000,黄色のヒトデ
1220001,怒ったヒトデ
1220002,ジェリーフィッシュ
1220003,クールジェリーフィッシュ
2100100,スナウサギ(♀)
2100101,スナウサギ(♂)
2100102,ジュニアカツス
2100103,カツス
2100104,ローヤルカツス
2100105,ベラモア
2100106,プリルド
2100107,マフラープリルド
2100108,ミヨキャッツ
2110200,ツノキノコ
2110300,スナモグラ
2110301,スコルピオン
2130100,Ｄ.ハイスタンプ
2130103,ジュニアネッキ
2150000,水泥棒
2150001,ダストボックス
2150002,街灯
2150003,見回りロボットS
2220000,マノ
2220100,青キノコ
2220110,泣き虫青キノコ
2230100,エビルアイ
2230101,ゾンビキノコ
2230102,ワイルドボア
2230103,トリックスター
2230104,G.トリックスター
2230105,シークル
2230106,シーコ
2230107,クラピ
2230108,ピンブム
2230109,バブルフィッシュ
2230110,ウッドマスク
2230111,ストーンマスク
2230112,臆病のワイルドボア
2230113,サージェンアイ
2230114,泥沼怪物
2230115,若芽泥怪物
2230131,腹を立てるゾンビきのこ
2230200,フラワーフィッシュ
2300100,スティジ
2300200,遺跡の防御兵
2300201,ぷよぷよ花
2300202,どくどく花
2300203,土器うさぎ
2300204,香炉うさぎ
2300205,木こり森の虫
2300206,石ころ森の虫
2300207,遺跡の防御兵
2300208,遺跡の攻撃兵
2300209,闇の蚕食
2300210,闇の蚕食
2300211,闇の蚕食
2300260,危険な土器うさぎ
2300261,危険な香炉うさぎ
2300262,危険な木こり森の虫
2300263,危険な石ころ森の虫
2300264,危険な遺跡の攻撃兵A
2300265,危険な遺跡の防御兵A
2300266,危険な遺跡の攻撃兵B
2300267,危険な遺跡の防御兵B
2300268,遺跡の巨大怪物
2300271,危険な土器うさぎ
2400000,バナロビ
2400001,ザナロビ
2400002,セナロビ
2400003,オレンジトーン
2400004,ベリートーン
2400005,ララルン
2400006,カカルン
2400007,怪しい下級司祭
2400008,怪しい中級司祭
2400009,怪しい上級司祭
2400010,裏切った下級司祭
2400011,裏切った中級司祭
2400012,裏切り者のボス
2400013,リバーストーン
2400014,グラビトン
2400015,弱ったスペクター戦闘犬
2400016,弱ったスペクター盾兵
2400017,弱ったゲリラスペクター
2400018,弱った戦士スペクター
2400019,弱った魔法使いスペクター
2400020,弱った死神スペクター
2400100,ブルスピ
2400101,レッドスピ
2400102,イエロースピ
2400103,ダイノグ
2400104,ダイノル
2400105,ダイノード
2400106,スペクター戦闘犬
2400107,スペクター調教師
2400108,スペクター労働者
2400109,スペクター盾兵
2400110,ゲリラスペクター
2400111,力士スペクター
2400112,スペクターエンジニア
2400113,戦士スペクター
2400114,魔法使いスペクター
2400115,死神スペクター
2400116,赤いビクターの被造物
2400117,青いビクターの被造物
2400118,紫の試薬の被造物
2400119,赤い試薬の被造物
2400120,スペクター戦闘犬
2400121,スペクター調教師
2400122,スペクター労働者
2400123,スペクター盾兵
2400124,ゲリラスペクター
2400125,力士スペクター
2400126,スペクターエンジニア
2400127,戦士スペクター
2400128,魔法使いスペクター
